category,description,authentication,self_serve,api_surface,mcp,buildability,blocker,evidence,verified,confidence,verification_notes,app
Productivity,"Monday.com GraphQL API enables programmatic access to boards, items, and workflow automation.",Bearer Token,Yes,GraphQL,Unknown,High,None,https://developer.monday.com/api-reference/,Yes,High,,Monday.com
Unknown,Search Failed,Unknown,Unknown,Unknown,Unknown,Low,Search Failed,,No,Low,No search results,ClickUp
Productivity,Coda is a collaborative document platform with tables and API access.,Bearer Token,Yes,REST,No,High,None,https://coda.io/developers,Yes,High,,Coda
Productivity,"Smartsheet API provides RESTful access to sheets, workspaces, and automation for work management.",OAuth2,Yes,REST,Unknown,High,None,https://developers.smartsheet.com/api/smartsheet/openapi,Yes,Medium,OAuth not explicitly found; REST not explicitly found,Smartsheet
Finance,"REST API for Harvest time tracking, expense, and invoice management.",OAuth2,Yes,REST,No,High,None,https://harvest.com/support/api/,Yes,Medium,OAuth not explicitly found; REST not explicitly found,Harvest
Commerce,"Stripe provides APIs for payments, billing, and financial services integration.",API Key,Yes,REST,Unknown,High,None,https://docs.stripe.com/api,Yes,High,,Stripe
Finance,"Financial data aggregation API for accounts, transactions, and authentication.",API Key,Yes,REST,No,High,None,https://plaid.com/docs/api/,Yes,High,,Plaid
Unknown,Search Failed,Unknown,Unknown,Unknown,Unknown,Low,Search Failed,,No,Low,No search results,Binance
Unknown,Search Failed,Unknown,Unknown,Unknown,Unknown,Low,Search Failed,,No,Low,No search results,Paygent Connect
Finance,Payment API for processing transactions and managing financial operations.,Unknown,Yes,REST,Unknown,High,None,https://www.ipayx.ai/docs/api?lang=en,Yes,Medium,REST not explicitly found,iPayX
Unknown,Search Failed,Unknown,Unknown,Unknown,Unknown,Low,Search Failed,,No,Low,No search results,QuickBooks
Unknown,Extraction Failed,Unknown,Unknown,Unknown,Unknown,Low,LLM Error,https://developer.xero.com/documentation/api/accounting/overview,Yes,High,,Xero
Finance,"Brex provides corporate cards, expense management, and financial APIs for businesses.",OAuth2,Yes,REST,Unknown,High,None,https://www.brex.com/,Yes,Medium,OAuth not explicitly found,Brex
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://developer.monday.com/api-reference/docs/getting-started,Yes,High,,Ramp
Other,No relevant documentation available,Unknown,No,Other,Unknown,Low,No public API,Unknown,No,Low,Evidence URL unreachable,PitchBook
Unknown,Search Failed,Unknown,Unknown,Unknown,Unknown,Low,Search Failed,,No,Low,No search results,NotebookLM
AI,Otter AI API for speech transcription and meeting notes.,API Key,Yes,REST,No,High,Paid plan required,https://otter.ai/api/docs/,Yes,Medium,API Key not explicitly found; REST not explicitly found,Otter AI
AI,API for AI meeting transcription and summarization.,Bearer Token,Yes,REST,Unknown,High,None,https://developers.fathom.ai/api-overview,Yes,Medium,Bearer token not explicitly found,Fathom
Developer Platform,Provides REST endpoints for interacting with Consensus blockchain data and services.,API Key,Yes,REST,No,Medium,None,https://docs.consensus.app/,Yes,Medium,REST not explicitly found,Consensus
AI,AI-powered API for parsing and extracting structured data from complex documents.,API Key,Yes,REST,Unknown,High,None,https://docs.reducto.ai/quickstart,Yes,High,,Reducto
AI,REST API to programmatically create and manage Devin AI software engineering sessions.,Bearer Token,Yes,REST,Unknown,High,None,https://docs.devin.ai/api-reference/overview,Yes,High,,Devin
Unknown,Extraction Failed,Unknown,Unknown,Unknown,Unknown,Low,LLM Error,https://deepwiki.com/higgsfield-ai/higgsfield-client/4-client-api-reference,Yes,High,,higgsfield
Other,Command-line tool for generating Mermaid diagrams,Unknown,Yes,None,Unknown,High,None,https://mermaid.ai/open-source/config/mermaidCLI.html,Yes,High,,Mermaid CLI
Developer Platform,API to retrieve transcripts from YouTube videos.,API Key,Yes,REST,Unknown,High,None,https://transcriptapi.com/docs/api/,Yes,High,,YouTube Transcript
Unknown,Search Failed,Unknown,Unknown,Unknown,Unknown,Low,Search Failed,,No,Low,No search results,Grain
